,Restuarantid,Restaurant,Restaurant_Type,Price,Cuisine,Location,Area,Link,Timing,Dining_Review,Dining_Rating,Delivery_Rating,Delivery_Review
168,169,The Hole In The Wall Cafe,"Cafe, Continental, Burger, Sandwich, Shake, Beverages, Desserts",700,Cafe," Koramangala 4th Block, Bangalore",Koramangala 4th Block,https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block-bangalore/info,Opens tomorrow at 8am,8757,4.4,4.3,8159
169,170,Chili's American Grill & Bar,"Continental, Mexican, American, Italian, Desserts, Beverages",1800,Continental," Orion Mall, Malleshwaram, Bangalore",Orion Mall,https://www.zomato.com/bangalore/chilis-american-grill-bar-rajajinagar-bangalore/info,Opens tomorrow at 12noon,10500,4.3,4.2,1029
170,171,Gatsby,"Finger Food, Healthy Food, North Indian, Asian, Sushi, Chinese, South Indian, Pizza",2500,Finger Food," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/gatsby-bannerghatta-road-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",3442,4.4,3.5,133
171,172,ShakesBierre,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages",1800,Finger Food," Eva Mall, Brigade Road, Bangalore",Eva Mall,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/info,11:30am – 1am (Today),3658,4.4,3.9,120
172,173,You Mee,"Asian, Sushi, Japanese, Chinese, Desserts, Beverages",2200,Asian," Nexus Shantiniketan, Whitefield, Bangalore",Nexus Shantiniketan,https://www.zomato.com/bangalore/you-mee-whitefield-bangalore/info,11am – 11:30pm (Today),2327,4.4,4.1,4150
173,174,KOKO,"Asian, Sushi, Desserts, Chinese, Beverages",3500,Asian," Old Airport Road, Bangalore",Old Airport Road,https://www.zomato.com/bangalore/koko-airport-road-bangalore/info,"12noon – 4pm, 7pm – 1am (Today)",151,4.5,4.0,17
174,175,Secret Of Bangalore,"Italian, Continental, Asian, Pizza, Pasta, Desserts, Beverages",1600,Italian," Rajarajeshwari Nagar, Bangalore",Rajarajeshwari Nagar,https://www.zomato.com/bangalore/secret-of-bangalore-rajarajeshwari-nagar-bangalore/info,11am – 1am (Today),5270,4.3,3.5,253
175,176,Sly Granny,"Continental, Italian, Salad, Sandwich, Pizza, Middle Eastern, Desserts",2500,Continental," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/sly-granny-indiranagar-bangalore/info,12noon – 11:30pm (Today),1550,4.4,3.7,419
176,177,Jugni Kitchen & Bar,"North Indian, Modern Indian, Bar Food, Seafood, South Indian, Desserts, Beverages",1600,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/jugni-kitchen-bar-koramangala-5th-block-bangalore/info,12noon – 11:30pm (Today),295,4.4,0.0,2
177,178,Gulp Cocktails And Kitchen,"North Indian, Continental, Mughlai, South Indian, Modern Indian, Pasta, Pizza, Chinese",1500,North Indian," Banashankari, Bangalore",Banashankari,https://www.zomato.com/bangalore/gulp-cocktails-and-kitchen-banashankari-bangalore/info,12noon – 12midnight (Today),790,4.1,0.0,0
178,179,Sidewalk Bar & Kitchen,"North Indian, Continental, Chinese, Fast Food, Beverages",1800,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/sidewalk-bar-kitchen-marathahalli-bangalore/info,12noon – 1am (Today),6638,4.3,4.0,3254
179,180,Chianti,"Italian, Pizza, Pasta, Desserts, Salad",1800,Italian," Forum Falcon City Mall, Kanakapura Roaad, Bangalore",Forum Falcon City Mall,https://www.zomato.com/bangalore/chianti-kanakapura-road-bangalore/info,Opens tomorrow at 12noon,1392,4.8,4.3,377
180,181,Public - The Rooftop Bar And Kitchen,"North Indian, Biryani, Oriental, Pizza, Continental",1200,North Indian," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/public-the-rooftop-bar-and-kitchen-bannerghatta-road-bangalore/info,11am – 12midnight (Today),3025,4.2,3.9,272
181,182,Melange,"North Indian, South Indian, Continental, Italian, Desserts",3500,North Indian," Radisson Blu, Marathahalli, Bangalore",Radisson Blu,https://www.zomato.com/bangalore/melange-marathahalli-bangalore/info,24 Hours (Today),1603,4.1,3.8,21
182,183,Umbaa Pub And Kitchen,"Bar Food, North Indian, Mughlai, Continental, Beverages",1500,Bar Food," ITPL Main Road, Whitefield, Bangalore",ITPL Main Road,https://www.zomato.com/bangalore/umbaa-pub-and-kitchen-1-itpl-main-road-whitefield-bangalore/info,11am – 12:30am (Today),1850,4.5,0.0,0
183,184,Masala Mandi,"North Indian, BBQ, Biryani, Desserts, Beverages, Mughlai",1800,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/masala-mandi-sarjapur-road-bangalore/info,"12noon – 4pm, 6:30pm – 11:30pm (Today)",3822,4.3,4.0,3627
184,185,Skyline Rooftop Bar & Kitchen,"Chinese, Italian, Fast Food, North Indian, Kebab, Biryani, Continental, Beverages",1800,Chinese," Livin Hub Hotel, Bangalore",Livin Hub Hotel,https://www.zomato.com/bangalore/skyline-rooftop-bar-kitchen-marathahalli-bangalore/info,12noon – 12midnight (Today),1409,4.4,3.6,70
185,186,The Big Barbeque,"BBQ, Pizza, North Indian, Pasta, Desserts, Beverages",2000,BBQ," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/the-big-barbeque-marathahalli-bangalore/info,Opens tomorrow at 11:30am,9195,4.3,3.5,2201
186,187,Cafe Grey By Dongle & Co,"Cafe, Coffee, Beverages, Continental, Pizza, Italian, Salad, Desserts",1200,Cafe," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/cafe-grey-by-dongle-co-indiranagar-bangalore/info,Opens tomorrow at 9am,1649,4.4,3.8,276
187,188,Grazers Resto - Bar,"North Indian, Salad, Continental, Burger, Pizza, Fast Food, Asian, Bar Food",1200,North Indian," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/grazers-resto-bar-jayanagar-bangalore/info,10:30am – 12midnight (Today),1069,4.2,3.6,3341
188,189,Hakuna Matata,"North Indian, Asian, Seafood, Chinese, Biryani, Fast Food, Desserts, Beverages",1700,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/hakuna-matata-jp-nagar/info,12noon – 12midnight (Today),7118,4.4,4.2,5135
189,190,LUPA,"Mediterranean, European, Italian, Salad, Desserts, Beverages",5000,Mediterranean," MG Road, Bangalore",MG Road,https://www.zomato.com/bangalore/lupa-mg-road-bangalore/info,"12noon – 3:30pm, 7pm – 12midnight (Today)",142,3.3,0.0,0
190,191,Poco A Poco - Global Food & Music,"Continental, Chinese, North Indian, Italian, Desserts, Asian, South Indian, Beverages",1000,Continental," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/poco-a-poco-global-food-music-whitefield-bangalore/info,Opens tomorrow at 12noon,311,4.5,4.0,58
191,192,Fenny's Lounge And Kitchen,"Mediterranean, Continental, Italian, Desserts, Beverages",1900,Mediterranean," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/fennys-lounge-and-kitchen-koramangala-7th-block/info,"12midnight – 1am, 11:30am – 12midnight (Today)",11600,4.5,4.1,33
192,193,Bamey's Restro Cafe,"Asian, Nepalese, Momos",950,Asian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bameys/info,Opens tomorrow at 11:30am,1923,4.2,4.2,4779
193,194,Chowki Multicuisine Restaurant,"North Indian, Chinese, Seafood, Fast Food, Biryani, Sichuan, Desserts, Beverages",700,North Indian," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/chowki-multicuisine-restaurant-whitefield-bangalore/info,12noon – 12midnight (Today),400,4.2,3.8,527
194,195,Celeb’s Restobar,Bar Food,1300,Bar Food," Brookefield, Bangalore",Brookefield,https://www.zomato.com/bangalore/celebs-restobar-brookefield-bangalore/info,12:30pm – 12midnight (Today),389,4.3,0.0,0
195,196,Windmills,"Continental, North Indian, Mughlai, Kebab, Desserts",3500,Continental," Craftworks, Bangalore",Craftworks,https://www.zomato.com/bangalore/windmills-1-whitefield-bangalore/info,12noon – 12midnight (Today),7191,4.7,4.1,1461
196,197,Foxtrot,"North Indian, Mughlai, Biryani, Desserts, Beverages",1900,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/foxtrot-marathahalli-bangalore/info,12noon – 12midnight (Today),3091,4.2,4.3,493
197,198,Inanna Tap Room,"Chinese, North Indian, Burger, Pizza, Italian, Desserts",2000,Chinese," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/inanna-tap-room-bannerghatta-road-bangalore/info,12noon – 12:30am (Today),3243,4.2,3.6,413
198,199,La Casa Brewery And Kitchen,"Continental, North Indian, Mughlai, Chinese, Finger Food, Steak, Desserts, Beverages",2000,Continental," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/la-casa-brewery-and-kitchen-sarjapur-road-bangalore/info,12noon – 1am (Today),7524,4.3,4.2,2157
199,200,Aroma's Hyderabad House,"Hyderabadi, Biryani, North Indian, Mughlai, Chinese, Seafood, Kebab, Beverages",950,Hyderabadi," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/aromas-hyderabad-house-marathahalli-bangalore/info,"12midnight – 1am, 11:30am – 4:30pm, 6:30pm – 12midnight (Today)",827,4.2,4.1,3767
200,201,Paragon Restaurant - Since 1939,"Kerala, Oriental, South Indian, Chinese, Seafood, Desserts, Beverages, North Indian",1000,Kerala," 1 Sobha, Bangalore",1 Sobha,https://www.zomato.com/bangalore/paragon-restaurant-since-1939-st-marks-road-bangalore/info,8:30am – 11:30pm (Today),86,4.0,4.3,2169
201,202,Thelagram,"North Indian, Street Food, Desserts, Beverages",800,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/thelagram-jp-nagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",626,4.4,4.3,223
202,203,XOOX Brewmill,"North Indian, Continental, American, Italian, Asian, Modern Indian, Pizza, Desserts",2500,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore/info,12noon – 1am (Today),7188,4.3,3.8,178
203,204,Moplah's,"Kerala, Biryani, Seafood, Beverages, Ice Cream, Desserts",1700,Kerala," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/moplahs-koramangala-5th-block-bangalore/info,Opens tomorrow at 12noon,384,4.5,4.3,532
204,205,Tall Oaks,"Asian, Continental, North Indian, Chinese, Seafood, Mexican, Bar Food, South Indian",1200,Asian," Seegehalli, Bangalore",Seegehalli,https://www.zomato.com/bangalore/tall-oaks-seegehalli-bangalore/info,12noon – 11:30pm (Today),215,0.0,0.0,0
205,206,Bombay Adda,"Continental, North Indian, Asian, Pizza, Fast Food, Kebab, Desserts, Beverages",2000,Continental," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore/info,12noon – 1am (Today),7095,4.2,0.0,0
206,207,Lush - Renaissance Hotel,"North Indian, Continental, Chinese, Fast Food",3500,North Indian," Renaissance Hotel, Race Course Road, Bangalore",Renaissance Hotel,https://www.zomato.com/bangalore/lush-renaissance-hotel-race-course-road-bangalore/info,Opens tomorrow at 7am,1539,4.4,4.4,157
207,208,154 Breakfast Club,"Burger, Cafe, Sandwich, Street Food, Fast Food, Pancake, Asian, Desserts",1100,Burger," Koramangala 4th Block, Bangalore",Koramangala 4th Block,https://www.zomato.com/bangalore/154-breakfast-club-koramangala-4th-block-bangalore/info,Opens tomorrow at 8am,3136,3.9,4.4,2170
208,209,BumbleBee Brauhaus,"Thai, Chinese, South Indian, Continental, North Indian, Italian, Desserts, Beverages",2600,Thai," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/bumblebee-brauhaus-indiranagar-bangalore/info,6am – 1am (Today),2571,3.9,3.5,68
209,210,The Peak,"Continental, Mangalorean",1000,Continental," Sahakara Nagar, Bangalore",Sahakara Nagar,https://www.zomato.com/bangalore/the-peak-2-sahakara-nagar-bangalore/info,12noon – 12midnight (Today),954,4.3,0.0,0
210,211,Brik Oven,"Pizza, Fast Food, Desserts, Beverages",1200,Pizza," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/brik-oven-indiranagar-bangalore/info,"8am – 11am, 11:30am – 12midnight (Today)",874,4.4,4.0,2665
211,212,Toca Terrace,"South Indian, North Indian, Continental, Chinese, Seafood, Pasta",1100,South Indian," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/toca-terrace-brigade-road-bangalore/info,"12midnight – 12:45am, 11am – 12midnight (Today)",201,4.1,0.0,0
212,213,The Irish House,"European, American, Italian, BBQ, Beverages, Desserts",2000,European," RMZ Ecoworld, Bellandur, Bangalore",RMZ Ecoworld,https://www.zomato.com/bangalore/the-irish-house-bellandur/info,12noon – 11:45pm (Today),2927,4.2,4.2,179
213,214,The Fisherman's Wharf,"North Indian, Chinese, Seafood, Goan, Finger Food, Continental, Desserts, Beverages",1900,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/the-fishermans-wharf-sarjapur-road/info,Opens tomorrow at 12noon,5905,4.1,4.1,1950
214,215,Chai Point,"Tea, Coffee, Beverages, Shake, Fast Food, Rolls, Desserts",550,Tea," Kumaraswamy Layout, Bangalore",Kumaraswamy Layout,https://www.zomato.com/bangalore/chai-point-kumaraswamy-layout-bangalore/info,24 Hours (Today),24,3.8,3.9,345
215,216,Just BLR,"North Indian, Chinese, Biryani, Beverages",2500,North Indian," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/just-blr-1-brigade-road-bangalore/info,11am – 1am (Today),8202,4.4,0.0,0
216,217,Khmer Kitchen,"Chinese, Asian, Thai, Japanese",2500,Chinese," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/khmer-kitchen-jp-nagar-bangalore/info,Opens tomorrow at 11:30am,1743,4.5,4.3,1074
217,218,California Burrito,"Mexican, Healthy Food, American, Salad, Fast Food, Beverages",450,Mexican," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/california-burrito-bannerghatta-road/info,Opens tomorrow at 11am,1402,4.3,4.5,11900
218,219,Roastea,"Tea, Asian, Chinese, Continental, Italian, Fast Food, Healthy Food, Desserts",1400,Tea," Koramangala 4th Block, Bangalore",Koramangala 4th Block,https://www.zomato.com/bangalore/roastea-koramangala-4th-block-bangalore/info,Opens tomorrow at 9am,68,0.0,0.0,0
219,220,Stories Bar & Kitchen,"Bar Food, Chinese, North Indian, Italian, Pizza, Seafood, Desserts",1400,Bar Food," Rajarajeshwari Nagar, Bangalore",Rajarajeshwari Nagar,https://www.zomato.com/bangalore/stories-bar-kitchen-rajarajeshwari-nagar-bangalore/info,12noon – 1am (Today),4418,4.4,4.0,378
220,221,We: Neighborhood,"European, American, North Indian, Burger, Pizza, Desserts, Beverages",1400,European," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/we-neighborhood-brigade-road-bangalore/info,"12midnight – 1am, 11:30am – 12midnight (Today)",5797,4.4,0.0,0
221,222,Bob's Bar,"South Indian, Biryani, Sandwich, Desserts, Bakery, Beverages",1400,South Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/bobs-bar-1-indiranagar-bangalore/info,11am – 1am (Today),1805,4.2,4.1,3327
222,223,The Cosmic Burger,"Burger, Wraps, Sandwich, Fast Food, Desserts, Shake, Beverages",400,Burger," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/the-cosmic-burger-koramangala-5th-block-bangalore/info,24 Hours (Today),28,3.5,3.7,1011
