,Restuarantid,Restaurant,Restaurant_Type,Price,Cuisine,Location,Area,Link,Timing,Dining_Review,Dining_Rating,Delivery_Rating,Delivery_Review
223,224,Skyye,"Continental, Asian, Thai, Seafood, Italian, Beverages, Desserts",2200,Continental," UB City, Bangalore",UB City,https://www.zomato.com/bangalore/skyye-lavelle-road/info,,3963,4.3,4.0,9
224,225,Caffé Allora,"Pizza, Italian, Pasta",1500,Pizza," Phoenix Mall of Asia, Hebbal, Bengaluru, Bangalore",Phoenix Mall of Asia,https://www.zomato.com/bangalore/caffé-allora-hebbal-bangalore/info,Opens tomorrow at 10:30am,106,4.5,0.0,0
225,226,Bombay Brasserie,"North Indian, Biryani, Fast Food, Desserts, Tea",2000,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/bombay-brasserie-indiranagar/info,Opens tomorrow at 12noon,2572,4.5,4.1,766
226,227,Dyu Art Cafe,"Cafe, Continental, Burger, Sandwich, Pizza, Fast Food, Desserts, Beverages",850,Cafe," Koramangala 8th Block, Bangalore",Koramangala 8th Block,https://www.zomato.com/bangalore/dyu-art-cafe-koramangala-8th-block-bangalore/info,Opens tomorrow at 10am,4699,4.3,4.3,612
227,228,Toscano,"Italian, Pizza, Pasta, Continental, Desserts, Steak, Seafood, Beverages",1800,Italian," Varthur Main Road, Whitefield, Bangalore",Varthur Main Road,https://www.zomato.com/bangalore/toscano-varthur-main-road-whitefield-bangalore/info,Opens tomorrow at 12noon,1017,4.6,4.2,3553
228,229,Altitude Kitchen & Bar,"Chinese, Seafood, North Indian, Kebab, Pizza, Finger Food, Biryani, Desserts",1800,Chinese," Basaveshwara Nagar, Bangalore",Basaveshwara Nagar,https://www.zomato.com/bangalore/altitude-kitchen-bar-basaveshwara-nagar-bangalore/info,12noon – 1am (Today),910,4.2,0.0,0
229,230,Kyba- Sushi Dim Sums & More,"Chinese, Thai, Sushi, Japanese, Asian, Seafood, Desserts",1400,Chinese," Sahakara Nagar, Bangalore",Sahakara Nagar,https://www.zomato.com/bangalore/kyba-sushi-dim-sums-more-sahakara-nagar-bangalore/info,12noon – 11:30pm (Today),425,4.7,4.1,456
230,231,Shelby Rooftop Taproom & Kitchen,"Asian, North Indian",1400,Asian," Nagarbhavi, Bangalore",Nagarbhavi,https://www.zomato.com/bangalore/shelby-rooftop-taproom-kitchen-nagarbhavi-bangalore/info,12noon – 11:30pm (Today),301,4.3,3.5,20
231,232,Rasotsav,"Rajasthani, Gujarati, North Indian, Mithai",1200,Rajasthani," Forum Falcon City Mall, Kanakapura Roaad, Bangalore",Forum Falcon City Mall,https://www.zomato.com/bangalore/rasotsav-kanakapura-road-bangalore/info,"12noon – 3:30pm, 7pm – 11:30pm (Today)",341,4.3,4.2,444
232,233,LOFT38,"Italian, BBQ, Asian, North Indian, Fast Food, Beverages",2000,Italian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/LOFT38/info,"12midnight – 12:30am, 11:30am – 12midnight (Today)",4959,4.1,4.0,11
233,234,Lucky Chan - Dimsum & Sushi Parlour,"Japanese, Chinese, Asian, Desserts, Beverages",1900,Japanese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/lucky-chan-dimsum-sushi-parlour-indiranagar-bangalore/info,Opens tomorrow at 12noon,1920,4.4,4.1,750
234,235,Flyover Drinkery,"Bar Food, Continental, Oriental, Asian, Pasta, North Indian, South Indian, Desserts",1800,Bar Food," Esteem Mall, Hebbal, Bangalore",Esteem Mall,https://www.zomato.com/bangalore/flyover-drinkery-hebbal-bangalore/info,12noon – 1am (Today),1522,4.4,0.0,0
235,236,Hoy Punjab Restaurant,"North Indian, Mughlai, Chinese, Street Food, Oriental, Beverages",1800,North Indian," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/hoy-punjab-restaurant-whitefield-bangalore/info,8am – 12midnight (Today),572,4.3,4.2,874
236,237,Tiamo - Conrad Bengaluru,"Italian, Mediterranean, Fast Food",3000,Italian," Conrad Bengaluru, Ulsoor, Bangalore",Conrad Bengaluru,https://www.zomato.com/bangalore/tiamo-conrad-bengaluru-ulsoor/info,Opens tomorrow at 11am,718,4.0,0.0,0
237,238,Salt - Indian Restaurant Bar & Grill,"North Indian, Rolls, Mughlai, Seafood, Biryani, Kebab, Desserts, Beverages",1800,North Indian," Nexus, Koramangala, Bangalore",Nexus,https://www.zomato.com/bangalore/salt-indian-restaurant-bar-grill-koramangala-7th-block-bangalore/info,Opens tomorrow at 12noon,3056,4.6,4.2,2235
238,239,Ouro,"European, Mexican, Desserts",3000,European," Forum Rex Walk, Bangalore",Forum Rex Walk,https://www.zomato.com/bangalore/ouro-brigade-road-bangalore/info,"12noon – 4:30pm, 6pm – 12:30am (Today)",75,4.1,0.0,0
239,240,Bistro Claytopia,"Cafe, American, Italian, Modern Indian, Continental, Desserts, Beverages",1100,Cafe," Koramangala 1st Block, Bangalore",Koramangala 1st Block,https://www.zomato.com/bangalore/bistro-claytopia-koramangala-1st-block/info,Opens tomorrow at 11am,2565,3.7,4.0,596
240,241,Spice Terrace - JW Marriott,"North Indian, Mughlai, Desserts",3500,North Indian," JW Marriott Bengaluru, Lavelle Road, Bangalore",JW Marriott Bengaluru,https://www.zomato.com/bangalore/spice-terrace-jw-marriott-lavelle-road/info,Opens tomorrow at 6:30pm,1145,4.2,0.0,0
241,242,Conçu,"Cafe, Fast Food",500,Cafe," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/conçu-indiranagar-bangalore/info,11am – 11:45pm (Today),302,4.3,4.5,393
242,243,Yauatcha,"Chinese, Asian, Cantonese, Seafood, Tea, Desserts",3000,Chinese," 1 MG Road Mall, MG Road, Bangalore",1 MG Road Mall,https://www.zomato.com/bangalore/yauatcha-mg-road/info,Opens tomorrow at 12noon,3605,4.4,4.3,473
243,244,The Soda Factory,"North Indian, Chinese, Pasta, Pizza, Fast Food, Biryani, Desserts, Beverages",1100,North Indian," Nagarbhavi, Bangalore",Nagarbhavi,https://www.zomato.com/bangalore/the-soda-factory-nagarbhavi-bangalore/info,12:15pm – 11:30pm (Today),1335,4.3,4.1,296
244,245,1882 - DoubleTree by Hilton Whitefield,"Continental, Asian, North Indian, Modern Indian",2000,Continental," DoubleTree by Hilton, Whitefield, Bengaluru, Bangalore",DoubleTree by Hilton,https://www.zomato.com/bangalore/1882-doubletree-by-hilton-whitefield-brookefield-bangalore/info,Opens tomorrow at 12:30pm,117,4.2,0.0,3
245,246,Gannet Bar & Kitchen,"Bar Food, North Indian, Mughlai, Seafood, Chinese, Continental, Oriental, Desserts",1800,Bar Food," Bommanahalli, Bangalore",Bommanahalli,https://www.zomato.com/bangalore/gannet-bar-kitchen-2-bommanahalli-bangalore/info,12:15pm – 11:45pm (Today),133,0.0,0.0,0
246,247,Feast - Sheraton Grand Bengaluru Whitefield Hotel & Convention Centre,"Continental, South Indian, North Indian, Desserts, Beverages",3500,Continental," Sheraton Grand Bengaluru, Whitefield, Bangalore",Sheraton Grand Bengaluru,https://www.zomato.com/bangalore/feast-sheraton-grand-bengaluru-whitefield-hotel-convention-centre-whitefield-bangalore/info,Opens tomorrow at 6:30am,1089,4.5,4.0,103
247,248,Hopshaus,"Continental, North Indian, Chinese, Sichuan, Pizza, Asian, Finger Food, Desserts",900,Continental," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/hopshaus-whitefield-bangalore/info,11:30am – 11:30pm (Today),975,4.2,4.2,521
248,249,Barista Coffee,"Cafe, Fast Food, Beverages, Desserts, Bakery",600,Cafe," Embassy Manyata Business Park,  Nagawara , Bangalore",Embassy Manyata Business Park,https://www.zomato.com/bangalore/barista-coffee-nagawara-bangalore/info,24 Hours (Today),81,3.7,4.1,339
249,250,Sector 144,"North Indian, Chinese, Kebab, Mughlai, Italian, Fast Food, Desserts, Bar Food",1100,North Indian," Electronic City, Bangalore",Electronic City,https://www.zomato.com/bangalore/sector-144-electronic-city-bangalore/info,12noon – 12midnight (Today),841,4.4,0.0,0
250,251,1522 - The Pub,"Chinese, North Indian, Mughlai, Finger Food, Seafood",1800,Chinese," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/1522-the-pub-jp-nagar-bangalore/info,"12midnight – 12:30am, 11:30am – 12midnight (Today)",1862,4.3,4.1,1551
251,252,Olive Beach,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",3500,Italian," Richmond Road, Bangalore",Richmond Road,https://www.zomato.com/bangalore/olive-beach-richmond-road-bangalore/info,Opens tomorrow at 12noon,2527,4.4,4.0,27
252,253,Soka,"Bar Food, Continental",1000,Bar Food," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/soka-indiranagar-bangalore/info,5pm – 1am (Today),32,4.2,0.0,0
253,254,Sstella Kitchen And Bar,"Asian, Chinese, Desserts, Beverages, Afghan",1000,Asian," Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Royal Meenakshi Mall,https://www.zomato.com/bangalore/sstella-kitchen-and-bar-bannerghatta-road-bangalore/info,12noon – 11:30pm (Today),707,4.5,4.1,39
254,255,The Kabab Studio - Goldfinch Hotel,"North Indian, Chinese, Continental, South Indian, Oriental, Italian, Kebab",1800,North Indian," Goldfinch Hotel, Seshadripuram, Bangalore",Goldfinch Hotel,https://www.zomato.com/bangalore/the-kabab-studio-goldfinch-hotel-seshadripuram-bangalore/info,"12noon – 3:30pm, 7pm – 11:30pm (Today)",1179,4.0,4.0,12
255,256,Bar Moxy,"Bar Food, Coffee, Beverages, Desserts",2500,Bar Food," Navarathna Agrahara International Airport, Bangalore",Navarathna Agrahara International Airport,https://www.zomato.com/bangalore/bar-moxy-international-airport-bangalore/info,24 Hours (Today),7,3.9,0.0,0
256,257,2 MOONS,"Modern Indian, Continental, Asian",2100,Modern Indian," 1 MG Road Mall, MG Road, Bangalore",1 MG Road Mall,https://www.zomato.com/bangalore/2-moons-mg-road-bangalore/info,12noon – 12:30am (Today),693,4.4,0.0,2
257,258,Shiro,"Japanese, Sushi, Asian, Desserts, Thai, Korean, Cantonese, Vietnamese",3500,Japanese," UB City, Bangalore",UB City,https://www.zomato.com/bangalore/shiro-lavelle-road/info,12noon – 12midnight (Today),3183,4.3,4.2,911
258,259,Garden City Beer Collective,"Pizza, Continental, Sushi, Asian, South Indian, Pasta, Desserts",2000,Pizza," Yelahanka, Bangalore",Yelahanka,https://www.zomato.com/bangalore/garden-city-beer-collective-yelahanka-bangalore/info,12noon – 11:30pm (Today),1758,4.4,4.1,164
259,260,Mirage,"Asian, Chinese, Thai, Beverages, Desserts",3000,Asian," 1 Sobha, Bangalore",1 Sobha,https://www.zomato.com/bangalore/mirage-st-marks-road-bangalore/info,5pm – 1am (Today),955,4.2,0.0,0
260,261,Dock 66,"North Indian, South Indian",1800,North Indian," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/dock-66-1-whitefield-bangalore/info,12noon – 1am (Today),799,4.2,0.0,1
261,262,District 6 Pub Brewery & Kitchen,"North Indian, Pizza, Italian, Bar Food, Continental, Asian, Desserts",2500,North Indian," Malleshwaram, Bangalore",Malleshwaram,https://www.zomato.com/bangalore/district-6-pub-brewery-kitchen-malleshwaram-bangalore/info,12noon – 11:45pm (Today),2030,4.5,3.7,49
262,263,Rajdhani,"Gujarati, North Indian, Rajasthani",1200,Gujarati," Phoenix Marketcity Bangalore, Whitefield, Bangalore",Phoenix Marketcity Bangalore,https://www.zomato.com/bangalore/rajdhani-1-whitefield-bangalore/info,Opens tomorrow at 12noon,2591,4.0,3.9,4922
263,264,Asia Alive - DoubleTree Suites By Hilton,"North Indian, South Indian, Chinese, Thai, Italian, Burger, Sandwich, Beverages",3500,North Indian," DoubleTree Suites By Hilton, Sarjapur, Bangalore",DoubleTree Suites By Hilton,https://www.zomato.com/bangalore/asia-alive-doubletree-suites-by-hilton-sarjapur-road-bangalore/info,6:30am – 11:30pm (Today),711,4.2,4.2,149
264,265,Full Circle,"Continental, Asian, North Indian, South Indian, BBQ, Bar Food, Desserts, Cafe",2200,Continental," Rajarajeshwari Nagar, Bangalore",Rajarajeshwari Nagar,https://www.zomato.com/bangalore/full-circle-rajarajeshwari-nagar-bangalore/info,12noon – 12midnight (Today),2500,4.3,3.9,458
265,266,Delhi Highway,"North Indian, Chinese, Street Food, Kebab, Desserts, Beverages",1800,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/delhi-highway-indiranagar/info,Opens tomorrow at 12noon,7582,4.1,3.7,3963
266,267,Karigari By Chef Harpal Singh Sokhi,"North Indian, Kebab, Beverages, Seafood, Desserts",1200,North Indian," Sahakara Nagar, Bangalore",Sahakara Nagar,https://www.zomato.com/bangalore/karigari-by-chef-harpal-singh-sokhi-sahakara-nagar-bangalore/info,Opens tomorrow at 12noon,282,4.2,4.0,27
267,268,Neemsi,"North Indian, Italian, Continental, Asian, Chinese, Desserts, Beverages",1500,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/neemsi-jp-nagar-bangalore/info,,32,0.0,0.0,0
268,269,The Watering Hole,"Continental, North Indian, European, Asian, Desserts, Beverages",1400,Continental," BTM, Bangalore",BTM,https://www.zomato.com/bangalore/the-watering-hole-btm-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",1141,4.2,0.0,5
269,270,Just Loaf,"Burger, Continental, Fast Food, Desserts, Mexican, Cafe, Finger Food, Sandwich",1500,Burger," Koramangala 3rd Block, Bangalore",Koramangala 3rd Block,https://www.zomato.com/bangalore/just-loaf-1-koramangala-3rd-block-bangalore/info,Opens tomorrow at 8am,115,3.4,4.0,10
270,271,"Torye Drink, Dine & Dance",Continental,2000,Continental," Rajarajeshwari Nagar, Bangalore",Rajarajeshwari Nagar,https://www.zomato.com/bangalore/torye-drink-dine-dance-rajarajeshwari-nagar-bangalore/info,11am – 12midnight (Today),285,3.8,0.0,0
271,272,Boteco Restaurante Brasileiro,"Brazilian, Steak, Salad, Finger Food, Desserts, Coffee, Beverages",3500,Brazilian," MG Road, Bangalore",MG Road,https://www.zomato.com/bangalore/boteco-restaurante-brasileiro-1-mg-road-bangalore/info,12noon – 12midnight (Today),388,4.3,4.0,5
272,273,Kebapci,"BBQ, Turkish, Kebab, Lebanese, Desserts",1600,BBQ," Koramangala 6th Block, Bangalore",Koramangala 6th Block,https://www.zomato.com/bangalore/kebapci-koramangala-6th-block-bangalore/info,"12midnight – 12:30am, 12:30pm – 12midnight (Today)",934,4.2,4.1,2978
273,274,Gabru Di Chaap,"North Indian, Momos, Fast Food, Wraps, Beverages",500,North Indian," Phoenix Marketcity Bangalore, Whitefield, Bangalore",Phoenix Marketcity Bangalore,https://www.zomato.com/bangalore/gabru-di-chaap-kr-puram-bangalore/info,Opens tomorrow at 12noon,192,4.1,3.8,362
274,275,Sanchez,"Mexican, Beverages",2500,Mexican," UB City, Bangalore",UB City,https://www.zomato.com/bangalore/sanchez-lavelle-road/info,Opens tomorrow at 11:30am,1593,4.0,4.2,375
275,276,Sugar Factory Reloaded,"North Indian, Continental, Italian, Chinese, Asian, American",1800,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/sugar-factory-reloaded-koramangala-5th-block-bangalore/info,"12midnight – 12:30am, 12noon – 12midnight (Today)",1523,3.9,0.0,4
276,277,The Big Baadshaah,"Continental, Chinese, Asian, North Indian, Fast Food, Street Food, Desserts, Beverages",1900,Continental," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/the-big-baadshaah-marathahalli-bangalore/info,Opens tomorrow at 12noon,1618,4.3,4.1,953
277,278,The Biere Club,"Bar Food, Continental, Italian, Wraps, Salad, Middle Eastern, Pizza",2600,Bar Food," Lavelle Road, Bangalore",Lavelle Road,https://www.zomato.com/bangalore/the-biere-club-lavelle-road-bangalore/info,12noon – 12midnight (Today),4010,4.2,3.0,30
278,279,Chulha Chauki Da Dhaba,"North Indian, Chinese, Kebab, Mughlai, Biryani, Beverages",1000,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/chulha-chauki-da-dhaba-sarjapur-road-bangalore/info,Opens tomorrow at 12noon,2998,4.3,4.1,4628
279,280,The Rameshwaram Cafe,"South Indian, Beverages",200,South Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/the-rameshwaram-cafe-indiranagar-bangalore/info,6:30am – 1am (Today),295,4.2,0.0,0
280,281,Big Barrel BrewPub,"Chinese, Salad, North Indian, Oriental, Mexican, Italian, Continental, Beverages",2000,Chinese," Rajarajeshwari Nagar, Bangalore",Rajarajeshwari Nagar,https://www.zomato.com/bangalore/big-barrel-brewpub-rajarajeshwari-nagar-bangalore/info,12noon – 12:30am (Today),2490,4.3,4.2,148
281,282,Niro,"Continental, North Indian, Beverages, Asian, Bar Food",2500,Continental," Hotel Country Inn, Bangalore",Hotel Country Inn,https://www.zomato.com/bangalore/niro-nagawara-bangalore/info,12noon – 12midnight (Today),197,4.5,0.0,4
282,283,Jamavar - The Leela Palace,"North Indian, South Indian",5000,North Indian," The Leela Palace, Old Airport Road, Bangalore",The Leela Palace,https://www.zomato.com/bangalore/jamavar-the-leela-palace-airport-road/info,Opens tomorrow at 12noon,845,4.3,0.0,0
283,284,Copper Chimney,"North Indian, Mughlai, Biryani, Kebab, Beverages",1700,North Indian," Phoenix Marketcity Bangalore, Whitefield, Bangalore",Phoenix Marketcity Bangalore,https://www.zomato.com/bangalore/copper-chimney-mahadevapura-bangalore/info,Opens tomorrow at 12noon,4125,4.3,4.1,82
284,285,Yellow Door - The Neighbourhood Kitchen,"North Indian, Asian, Italian, Fast Food",1100,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/yellow-door-the-neighbourhood-kitchen-1-koramangala-5th-block-bangalore/info,12noon – 11:30pm (Today),835,4.3,4.2,214
285,286,DYCE,"Continental, Pizza, Mexican, Burger, Beverages",1200,Continental," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/dyce-2-jayanagar-bangalore/info,Opens tomorrow at 11am,1045,4.0,3.8,103
286,287,Radio Bar,"Bar Food, North Indian, Seafood, Chinese, Pizza, Italian, Desserts",2000,Bar Food," Bellandur, Bangalore",Bellandur,https://www.zomato.com/bangalore/radio-bar-bellandur-bangalore/info,12noon – 12midnight (Today),48,4.4,0.0,0
287,288,Nasi And Mee,"Asian, Sushi, Thai",1600,Asian," Koramangala 4th Block, Bangalore",Koramangala 4th Block,https://www.zomato.com/bangalore/nasi-and-mee-koramangala-4th-block/info,Opens tomorrow at 12noon,3375,4.5,4.4,2355
288,289,The Kind Roastery & Brew Room,"Cafe, Coffee, Desserts, Asian, Pizza, Tea, Beverages, Pasta",500,Cafe," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/the-kind-roastery-brew-room-jp-nagar-bangalore/info,Opens tomorrow at 8am,327,4.5,3.7,75
289,290,Cafe G - Holiday Inn,"North Indian, Italian, Continental, Chinese, Asian, Desserts",2600,North Indian," Holiday Inn, Race Course Road, Bangalore., Bangalore",Holiday Inn,https://www.zomato.com/bangalore/cafe-g-holiday-inn-race-course-road-bangalore/info,Opens tomorrow at 11am,216,3.9,0.0,5
290,291,Sanadige - Goldfinch Hotel,"Seafood, Mangalorean, Goan, South Indian, North Indian, Chinese, Desserts, Beverages",1800,Seafood," Goldfinch Hotel, Seshadripuram, Bangalore",Goldfinch Hotel,https://www.zomato.com/bangalore/sanadige-goldfinch-hotel-seshadripuram/info,Opens tomorrow at 12noon,1105,4.2,4.4,527
291,292,Cafe Centralis,"Cafe, Chinese, Italian, Sichuan",950,Cafe," New BEL Road, Bangalore",New BEL Road,https://www.zomato.com/bangalore/cafe-centralis-new-bel-road/info,7:30am – 11:15pm (Today),292,3.4,3.9,102
292,293,Kana By Coffee Mechanics,"Cafe, Continental, Burger, Italian, Desserts, Beverages, Coffee",1000,Cafe," HBR Layout, Bangalore",HBR Layout,https://www.zomato.com/bangalore/kana-by-coffee-mechanics-hbr-layout-bangalore/info,Opens tomorrow at 9am,240,4.2,4.3,99
293,294,Easy Tiger,"Finger Food, Continental",1700,Finger Food," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/easy-tiger-church-street/info,12noon – 1am (Today),4349,4.1,0.0,0
294,295,Spice It - ibis Bengaluru Hebbal,"North Indian, Chinese, Italian, Continental, Pasta, Desserts, Beverages",1800,North Indian," Ibis Hebbal, Bangalore",Ibis Hebbal,https://www.zomato.com/bangalore/spice-it-ibis-bengaluru-hebbal-hebbal-bangalore/info,Opens tomorrow at 12:30pm,75,3.6,0.0,0
295,296,SLAY Coffee Bar,"Cafe, Coffee, Beverages, Fast Food, Sandwich, Burger",600,Cafe," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/slay-coffee-bar-hsr-bangalore/info,Opens tomorrow at 7am,815,4.8,4.3,3458
296,297,Smoor,"Asian, Italian, Bakery, Desserts, Beverages, Cafe, Chinese, Ice Cream",600,Asian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/smoor-2-indiranagar-bangalore/info,8am – 12midnight (Today),3878,4.5,4.4,8364
297,298,Kazé,"Japanese, Sushi, Thai, Asian",3500,Japanese," Lavelle Road, Bangalore",Lavelle Road,https://www.zomato.com/bangalore/kazé-1-lavelle-road-bangalore/info,12:30pm – 1am (Today),1212,4.2,0.0,0
298,299,Spettacolare,"Italian, Pizza, Pasta",1000,Italian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/spettacolare-indiranagar-bangalore/info,Opens tomorrow at 12noon,128,4.0,0.0,0
299,300,IGNYT -The Beer Station,Continental,2000,Continental," Kumaraswamy Layout, Bangalore",Kumaraswamy Layout,https://www.zomato.com/bangalore/ignyt-the-beer-station-kumaraswamy-layout-bangalore/info,11am – 12midnight (Today),313,4.1,0.0,0
300,301,Lono,"Chinese, Italian, Continental, North Indian, Seafood, Pizza, Pasta, Fast Food",1700,Chinese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/lono-indiranagar-bangalore/info,12noon – 12midnight (Today),3417,4.2,3.3,115
301,302,Sally By 1522,"South Indian, Chinese, Salad, Continental, Asian, Biryani, Seafood, Pasta",1600,South Indian," Phoenix Mall of Asia, Hebbal, Bengaluru, Bangalore",Phoenix Mall of Asia,https://www.zomato.com/bangalore/sally-by-1522-hebbal-bangalore/info,12noon – 12midnight (Today),118,4.1,0.0,0
302,303,The Grill House - Steaks & Sizzlers,"American, Mexican, Italian, Steak, Seafood",1400,American," Ulsoor, Bangalore",Ulsoor,https://www.zomato.com/bangalore/the-grill-house-steaks-sizzlers-ulsoor-bangalore/info,12noon – 12midnight (Today),1456,4.2,4.4,276
303,304,Nom Nom,"Asian, Chinese, Sushi, Desserts",2000,Asian," RMZ Ecoworld, Bellandur, Bangalore",RMZ Ecoworld,https://www.zomato.com/bangalore/nom-nom-bellandur-bangalore/info,"12noon – 4pm, 7pm – 1am (Today)",79,4.2,0.0,0
304,305,Santé Spa Cuisine,"Pizza, North Indian, Continental, Pasta, Asian, Cafe, Beverages, Desserts",1800,Pizza," Domlur, Bangalore",Domlur,https://www.zomato.com/bangalore/santé-spa-cuisine-domlur-bangalore/info,Opens tomorrow at 11am,1210,4.9,4.1,839
305,306,Light Of Italy,"Italian, Pizza, Pasta, Ice Cream, Desserts, Beverages",1000,Italian," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/light-of-italy-hsr-bangalore/info,11am – 11:30pm (Today),338,4.2,4.0,37
306,307,Phobidden Fruit,"Vietnamese, Asian, Desserts",1300,Vietnamese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/phobidden-fruit-indiranagar/info,Opens tomorrow at 12noon,3274,4.4,4.4,1024
307,308,Plan B X Hangover,"American, Burger, Pizza, Continental, Bar Food, Desserts, Beverages",2000,American," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/plan-b-x-hangover-hsr-bangalore/info,12noon – 12midnight (Today),3614,4.1,4.0,330
308,309,Itasian,"Italian, Asian, Chinese, Sushi, Burger, Fast Food, Desserts, Beverages",1000,Italian," Jakkur, Bangalore",Jakkur,https://www.zomato.com/bangalore/itasian-jakkur-bangalore/info,Opens tomorrow at 12noon,150,4.3,3.5,76
309,310,Techila,"North Indian, Burger, Biryani, Pizza, Chinese, Mexican, Fast Food, Rolls",1200,North Indian," Nagawara, Bangalore",Nagawara,https://www.zomato.com/bangalore/techila-nagawara-bangalore/info,11am – 12midnight (Today),390,4.3,3.4,85
310,311,Tuk Tuk Thai - Pure Veg Asian Fine Dine,"Thai, Asian, Chinese, Desserts, Beverages",2000,Thai," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/tuk-tuk-thai-pure-veg-asian-fine-dine-koramangala-5th-block-bangalore/info,Opens tomorrow at 3:30am,457,4.6,4.1,174
311,312,Mahe Global Kitchen,"North Indian, Continental, Asian, Pizza, Chinese, Desserts, Shake, Beverages",1400,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/mahe-global-kitchen-koramangala-5th-block-bangalore/info,11:30am – 11:30pm (Today),219,4.3,4.0,9
312,313,Gufha - The President Hotel,"North Indian, Mughlai, Biryani, Beverages",1400,North Indian," The President Hotel, Jayanagar, Bangalore",The President Hotel,https://www.zomato.com/bangalore/gufha-the-president-hotel-jayanagar/info,Opens tomorrow at 12noon,3206,4.1,4.4,249
313,314,Eight,"Asian, Chinese, Thai, Japanese, Peruvian",3000,Asian," Phoenix Mall of Asia, Hebbal, Bengaluru, Bangalore",Phoenix Mall of Asia,https://www.zomato.com/bangalore/eight-hebbal-bangalore/info,Opens tomorrow at 12noon,181,4.3,2.7,6
314,315,Drunken Daddy,"North Indian, Continental, Fast Food, Oriental, Finger Food, Biryani, Beverages",1400,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/drunken-daddy-koramangala-5th-block-bangalore/info,12noon – 1am (Today),2633,4.3,4.0,10
315,316,Travellers Bungalow,"Middle Eastern, European, Pizza, Finger Food, Desserts, Beverages",1400,Middle Eastern," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/travellers-bungalow-1-indiranagar-bangalore/info,Opens tomorrow at 12noon,444,4.3,4.1,167
316,317,Watson's,"North Indian, Continental, Italian, European, Asian, Beverages, Desserts",1600,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/watsons-indiranagar-bangalore/info,12noon – 1am (Today),916,4.0,3.9,52
317,318,Tipsy Bull - The Bar Exchange,"Finger Food, North Indian, Continental, Italian, Fast Food, Desserts",1200,Finger Food," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/tipsy-bull-the-bar-exchange-jp-nagar-bangalore/info,12noon – 1am (Today),5026,4.4,3.8,243
318,319,The Rasoiya Street,"North Indian, Continental, Asian, Chinese, Desserts, Beverages",1100,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/the-rasoiya-street-1-jp-nagar-bangalore/info,Opens tomorrow at 11am,465,4.1,3.9,400
319,320,Carnival de Goa,"Goan, Chinese, Continental, Seafood, Pizza, Desserts, Beverages",1200,Goan," Ulsoor, Bangalore",Ulsoor,https://www.zomato.com/bangalore/carnival-de-goa-ulsoor/info,Opens tomorrow at 12noon,1621,4.3,4.2,489
320,321,Dhwani,"North Indian, Bar Food, Continental, Chinese, Biryani, Pizza, Momos, Beverages",1300,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/dhwani-indiranagar-bangalore/info,12noon – 12midnight (Today),804,4.5,4.0,26
