,Restaurant,Rating,Restaurant_Type,Price_For_Two,Location,Link,Timing,Dining_Review,Dining_Rating,Delivery_Rating,Delivery_Review
107,White Garden,,"North Indian, Italian, Lebanese, Asian, Continental, Desserts",1600," Kalyan Nagar, Bangalore",https://www.zomato.com/bangalore/white-garden-kalyan-nagar-bangalore/info,"12noon – 4pm, 7pm – 11pm (Today)",796,4.3,0.0,0
108,RCB Bar & Cafe,,"Continental, Asian, North Indian, Pizza, Fast Food, Desserts, Beverages",2000," 1 Sobha, Bangalore",https://www.zomato.com/bangalore/rcb-bar-cafe-st-marks-road-bangalore/info,Opens on Monday at 8:15am,"1,454",4.4,4.1,224
109,Burma Burma - Indiranagar,,"Burmese, Asian, Salad, Bubble Tea, Ice Cream, Desserts",1800," Indiranagar, Bangalore",https://www.zomato.com/bangalore/burma-burma-indiranagar-indiranagar-bangalore/info,Opens tomorrow at 12noon,"4,118",4.8,4.3,"2,046"
110,Kari Theory - Namma Bar & Kitchen,,"South Indian, North Indian, Street Food, Biryani, Continental, Asian, Italian, Bar Food",3500," Radisson Bangalore City Centre, Ulsoor, Bangalore",https://www.zomato.com/bangalore/kari-theory-namma-bar-kitchen-ulsoor-bangalore/info,24 Hours (Today),162,4.2,0.0,1
111,Proxy,,"Finger Food, Street Food, Pasta, Bar Food, Desserts",1200," Mahadevapura, Bangalore",https://www.zomato.com/bangalore/proxy-mahadevapura-bangalore/info,12noon – 12:30am (Today),"1,137",4.4,4.1,104
112,Nevermind - Bar & Social,,"Bar Food, North Indian, Chinese, Continental, Burger",1800," Indiranagar, Bangalore",https://www.zomato.com/bangalore/nevermind-bar-social-indiranagar-bangalore/info,12noon – 1am (Today),"2,862",4.1,3.6,125
113,Brooks And Bonds Brewery,,"Continental, American, North Indian, Italian, Fast Food, Beverages, Desserts",2000," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/brooks-and-bonds-brewery-koramangala-5th-block-bangalore/info,12noon – 1am (Today),12K,4.2,3.9,71
114,Omega IX Cocktail Bar And Global Kitchen,,"North Indian, Continental, Asian, Sushi, Italian, Desserts, Beverages",1800," Sahakara Nagar, Bangalore",https://www.zomato.com/bangalore/omega-ix-cocktail-bar-and-global-kitchen-sahakara-nagar-bangalore/info,12:15pm – 11:30pm (Today),"1,760",4.2,4.3,79
115,Hashtag 88,,"Asian, Chinese, Salad, North Indian, Fast Food, Biryani, Desserts",1200," Marathahalli, Bangalore",https://www.zomato.com/bangalore/hashtag-88-marathahalli-bangalore/info,12noon – 12midnight (Today),"2,523",4.3,0.0,0
116,Geometry Gastropub,,"Continental, North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",1600," New BEL Road, Bangalore",https://www.zomato.com/bangalore/geometry-gastropub-new-bel-road-bangalore/info,12noon – 1am (Today),"2,078",4.4,0.0,0
117,The Groot,,"Italian, North Indian, Chinese, Burger, Pasta, Pizza, Salad, Desserts",1200," Bhartiya Mall of Bengaluru, Bangalore",https://www.zomato.com/bangalore/the-groot-jakkur-bangalore/info,12noon – 12midnight (Today),805,4.0,3.6,34
118,Foo Brigade Road,,"Chinese, Sushi, Asian, Japanese, Desserts",2000," Forum Rex Walk, Bangalore",https://www.zomato.com/bangalore/foo-brigade-road-brigade-road-bangalore/info,11am – 11:30pm (Today),707,4.6,4.4,342
119,The Reservoire,,"North Indian, Biryani, Asian, Italian, Continental, Bar Food, Desserts, Beverages",2000," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/info,11am – 1am (Today),"7,465",4.4,4.3,869
120,Mezera Brewery & Kitchen,,Continental,1600," JP Nagar, Bangalore",https://www.zomato.com/bangalore/mezera-brewery-kitchen-jp-nagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",410,4.2,0.0,0
121,Gawky Goose,,"Italian, Biryani, North Indian, Fast Food, Seafood, Asian, Desserts, Beverages",2200," Old Airport Road, Bangalore",https://www.zomato.com/bangalore/gawky-goose-airport-road-bangalore/info,12noon – 11:30pm (Today),"2,007",4.4,3.8,899
122,Pasta Street,,"Pasta, Pizza, Italian, Salad, Desserts, Beverages",1800," JP Nagar, Bangalore",https://www.zomato.com/bangalore/pasta-street-jp-nagar-bangalore/info,11am – 11:30pm (Today),"4,761",4.5,4.1,"2,461"
123,TOY BOY,,"Bar Food, North Indian, Pizza, Oriental",2000," Majestic, Bangalore",https://www.zomato.com/bangalore/toy-boy-majestic-bangalore/info,"12midnight – 1am, 12noon – 11:45pm (Today)",269,4.5,0.0,0
124,Peepai,,"North Indian, Pizza, Chinese, European, Bar Food, Biryani, Desserts, Beverages",2500," Hebbal, Bangalore",https://www.zomato.com/bangalore/peepai-3-hebbal-bangalore/info,12noon – 12midnight (Today),"2,329",4.5,4.1,722
125,Tales Of Flamingo,,"Continental, Asian, North Indian, Desserts",1500," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/tales-of-flamingo-bannerghatta-road-bangalore/info,12noon – 12midnight (Today),310,4.5,0.0,0
126,Tim Hortons,,"Cafe, Coffee, Beverages, Desserts, Sandwich, Fast Food",1000," Koramangala 8th Block, Bangalore",https://www.zomato.com/bangalore/tim-hortons-koramangala-8th-block-bangalore/info,"12midnight – 4am, 8am – 12midnight (Today)",488,4.2,4.3,711
127,VYANA - World Cuisine,,"Italian, Oriental, Continental, Chinese, Salad, Pizza, North Indian, Desserts",1700," JP Nagar, Bangalore",https://www.zomato.com/bangalore/vyana-world-cuisine-jp-nagar-bangalore/info,Opens tomorrow at 12noon,976,4.0,3.8,129
128,Deck Of Brews,,"Continental, North Indian, Italian, Asian, Desserts, Pizza, Pasta, South Indian",1500," Kadubeesanahalli, Bangalore",https://www.zomato.com/bangalore/deck-of-brews-kadubeesanahalli-bangalore/info,12noon – 12midnight (Today),"1,892",4.3,0.0,0
129,JULIET,,"Asian, Continental, Sushi, Thai, Japanese, Desserts",2500," 1 MG Road Mall, MG Road, Bangalore",https://www.zomato.com/bangalore/juliet-mg-road-bangalore/info,6pm – 1am (Today),511,4.2,0.0,0
130,Bologna,,"Italian, Pasta, Pizza, Desserts",1500," Indiranagar, Bangalore",https://www.zomato.com/bangalore/bologna-indiranagar-bangalore/info,Opens tomorrow at 12noon,"3,671",4.9,4.4,"1,010"
131,Brother Barley Brewing Company,,"Finger Food, Continental, North Indian, Chinese, Italian, Beverages, Desserts",1800," HSR, Bangalore",https://www.zomato.com/bangalore/brother-barley-brewing-company-hsr-bangalore/info,12noon – 11:45pm (Today),"2,759",4.2,3.8,125
132,Communiti,,"American, Continental, European, Italian, Oriental, Burger, Beverages",1800," Brigade Road, Bangalore",https://www.zomato.com/bangalore/communiti-brigade-road-bangalore/info,"12midnight – 1am, 11:30am – 12midnight (Today)",20.2K,4.5,0.0,0
133,Rumi,,"Awadhi, Mughlai, North Indian, Kebab, Desserts",1100," Indiranagar, Bangalore",https://www.zomato.com/bangalore/rumi-indiranagar-bangalore/info,"12noon – 4pm, 6pm – 12midnight (Today)",779,4.0,4.1,"2,921"
134,Shift Lounge & Bar,,"Finger Food, Continental, North Indian, Salad, Seafood, Mughlai",1400," HSR, Bangalore",https://www.zomato.com/bangalore/shift-lounge-bar-hsr-bangalore/info,10:30am – 12midnight (Today),"5,256",4.2,4.1,344
135,Hydra Club & Kitchen,,"Continental, Biryani, North Indian, South Indian, Japanese, Chinese",1200," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/hydra-club-kitchen-koramangala-5th-block-bangalore/info,11am – 11:45pm (Today),347,4.3,0.0,3
136,Punjab Grill,,"North Indian, Kebab, Biryani, Mughlai",2000," Nexus Shantiniketan, Whitefield, Bangalore",https://www.zomato.com/bangalore/punjab-grill-whitefield-bangalore/info,11am – 11:30pm (Today),"4,346",4.3,3.9,"3,943"
137,Suku Japanese And Thai Restaurant,,"Japanese, Thai, Sushi, Salad, Desserts, Beverages",800," HSR, Bangalore",https://www.zomato.com/bangalore/suku-japanese-and-thai-restaurant-hsr-bangalore/info,Opens tomorrow at 12noon,728,4.6,4.1,443
138,Vapour Brewpub And Diner,,"North Indian, Continental, Italian, European, Biryani, Salad, Desserts, Beverages",2200," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/vapour-brewpub-and-diner-sarjapur-road-bangalore/info,12noon – 1am (Today),"8,477",4.3,3.4,392
139,Plan B,,"American, Continental, Burger, Pizza, Tex-Mex, Fast Food",1600," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/plan-b-koramangala-7th-block-bangalore/info,12noon – 1am (Today),"2,908",4.1,4.2,470
140,Hitchki,,"North Indian, Chinese, Continental, Biryani, Finger Food, Bar Food, Desserts, Beverages",2000," Phoenix Marketcity Bangalore, Whitefield, Bangalore",https://www.zomato.com/bangalore/hitchki-kr-puram-bangalore/info,12noon – 12:30am (Today),"1,736",4.3,3.8,696
141,The Fixx,,"North Indian, Continental, Chinese, Seafood, Pasta, Pizza, Biryani, Beverages",1800," Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/the-fixx-1-koramangala-4th-block-bangalore/info,11am – 12:30am (Today),"1,129",4.1,4.0,9
142,The Druid Garden,,"North Indian, Asian, Continental, Italian, Chinese, Fast Food",2000," Sahakara Nagar, Bangalore",https://www.zomato.com/bangalore/the-druid-garden-sahakara-nagar-bangalore/info,12noon – 1am (Today),"5,704",4.2,4.1,"5,606"
143,Yuki,,"Asian, Japanese, Sushi, Thai, Chinese, Salad, Desserts",1600," Indiranagar, Bangalore",https://www.zomato.com/bangalore/yuki-indiranagar-bangalore/info,12noon – 11:15pm (Today),520,4.5,4.4,293
144,The 13th Floor,,"North Indian, Asian, Kebab, Chinese, Salad, Beverages, Desserts",2500," Barton Centre, Bangalore",https://www.zomato.com/bangalore/the-13th-floor-mg-road-bangalore/info,12noon – 12midnight (Today),"5,999",4.3,4.1,257
145,Badmaash,,"North Indian, South Indian, Mughlai, Kebab, Chinese, Biryani, Desserts",1800," Lulu Mall, Bangalore",https://www.zomato.com/bangalore/badmaash-vijay-nagar-bangalore/info,6pm – 12midnight (Today),478,4.4,0.0,0
146,Cocobolo,,"Bar Food, North Indian, Continental, Italian, Chinese, BBQ, Desserts, Beverages",1000," New BEL Road, Bangalore",https://www.zomato.com/bangalore/cocobolo-new-bel-road-bangalore/info,12noon – 12midnight (Today),645,4.3,0.0,0
147,Hitchki,,"Bar Food, Continental, North Indian, Asian, Biryani, Desserts",1900," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/hitchki-sarjapur-road-bangalore/info,"12midnight – 12:45am, 11am – 12midnight (Today)",712,4.1,3.7,646
148,AB's - Absolute Barbecues,,"Biryani, BBQ, Kebab, North Indian, Desserts",1600," Marathahalli, Bangalore",https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli/info,Opens tomorrow at 11am,16.2K,4.5,3.7,"2,923"
149,Daysie - All Day Casual Bar,,"North Indian, Italian, Continental, Asian, Chinese, Bar Food, Desserts",1300," MG Road, Bangalore",https://www.zomato.com/bangalore/daysie-all-day-casual-bar-mg-road-bangalore/info,12noon – 11:30pm (Today),"1,151",4.5,4.0,121
150,Geist Brewing Co.,,"Continental, Italian, North Indian, Modern Indian, Bar Food, Beverages, Asian, American",1800," Bhartiya Mall of Bengaluru, Bangalore",https://www.zomato.com/bangalore/geist-brewing-co-jakkur-bangalore/info,Opens tomorrow at 12noon,573,4.3,4.0,12
151,Chapter One Bar | Maiin,,"North Indian, South Indian, Chinese, Italian, Fast Food, Finger Food, Desserts, Beverages",1400," New BEL Road, Bangalore",https://www.zomato.com/bangalore/chapter-one-bar-maiin-new-bel-road-bangalore/info,10:30am – 12:30am (Today),"4,706",4.3,4.4,312
152,Dhaba - Estd 1986 Delhi,,"North Indian, Mughlai, Desserts, Paan",1500," Marathahalli, Bangalore",https://www.zomato.com/bangalore/dhaba-estd-1986-delhi-marathahalli-bangalore/info,12noon – 11:30pm (Today),"5,422",4.3,3.7,"6,875"
153,North Star Cafe,,"Cafe, Bakery, Beverages, Desserts, Continental, Healthy Food",800," HSR, Bangalore",https://www.zomato.com/bangalore/north-star-cafe-hsr-bangalore/info,"12midnight – 1am, 8am – 12midnight (Today)",527,4.5,4.3,53
154,Pincode 24 Bar & Bistro,,"Bar Food, Continental, North Indian, Burger, Sandwich, Panini, Beverages",1000," Hebbal, Bangalore",https://www.zomato.com/bangalore/pincode-24-bar-bistro-hebbal-bangalore/info,12noon – 12midnight (Today),239,4.5,0.0,0
155,House Of Commons,,"Bar Food, Fast Food, North Indian, Continental, Seafood, Italian, Chinese, Desserts",1200," HSR, Bangalore",https://www.zomato.com/bangalore/house-of-commons-hsr-bangalore/info,10:30am – 1am (Today),16.2K,4.5,4.0,"1,336"
156,Arbor Brewing Company,,"American, Continental, Fast Food, Beverages",1800," Brigade Road, Bangalore",https://www.zomato.com/ArborBrewIndia/info,12noon – 11:30pm (Today),"9,471",4.6,4.1,148
157,Gilly's Restobar,,"Seafood, North Indian, Pizza, Burger, Oriental, Italian, Fast Food",1900," Marathahalli, Bangalore",https://www.zomato.com/bangalore/gillys-restobar-1-marathahalli-bangalore/info,12noon – 12midnight (Today),"3,961",4.0,3.8,62
158,Hangover Brewery,,"Continental, North Indian, Chinese, Finger Food, Burger, Pizza, Desserts",2000," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/hangover-brewery-koramangala-7th-block-bangalore/info,12noon – 1am (Today),876,4.0,0.0,4
159,Barbecue By Punjab Grill,,"BBQ, Mughlai, North Indian, Salad, Desserts",1600," Mantri Square, Malleshwaram, Bangalore",https://www.zomato.com/bangalore/barbecue-by-punjab-grill-malleshwaram-bangalore/info,12noon – 11:30pm (Today),"4,414",4.2,3.8,370
160,The Persian Terrace - Sheraton Grand Bangalore Hotel at Brigade Gateway,,"Iranian, Mediterranean, Afghan, Seafood, Desserts",3500," Sheraton Grand Bangalore, Brigade Gateway, Bangalore",https://www.zomato.com/bangalore/the-persian-terrace-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram/info,6pm – 11:30pm (Today),"1,387",4.1,0.0,0
161,Horizon,,"Chinese, Japanese, Asian, Salad, Thai, Desserts, Beverages",3000," World Trade Center, Bangalore",https://www.zomato.com/bangalore/horizon-1-malleshwaram-bangalore/info,Opens tomorrow at 12:30pm,462,4.4,0.0,0
162,Ishaara,,"North Indian, Mughlai, Kebab, Biryani",2500," Phoenix Mall of Asia, Hebbal, Bengaluru, Bangalore",https://www.zomato.com/bangalore/ishaara-hebbal-bangalore/info,Opens tomorrow at 10:30am,315,4.5,3.8,14
163,Flechazo,,"North Indian, Chinese, Pizza, Continental, Fast Food, Desserts, Shake, Beverages",1000," Marathahalli, Bangalore",https://www.zomato.com/bangalore/flechazo-1-marathahalli-bangalore/info,Opens tomorrow at 11:30am,"9,622",4.3,3.1,21
164,Kampot,,"Vietnamese, Asian, Chinese, Desserts, Beverages, Salad, Korean",1800," RMZ Ecoworld, Bellandur, Bangalore",https://www.zomato.com/bangalore/kampot-bellandur-bangalore/info,Opens tomorrow at 12noon,415,4.3,3.8,18
165,Samosa Party,,"Street Food, Tea, North Indian, Desserts, Mithai, Beverages",200," HSR, Bangalore",https://www.zomato.com/bangalore/samosa-party-1-hsr-bangalore/info,24 Hours (Today),77,3.9,4.2,"2,577"
166,Levels Pub & Kitchen,,"Asian, South Indian, North Indian",1700," JP Nagar, Bangalore",https://www.zomato.com/bangalore/levels-pub-kitchen-jp-nagar-bangalore/info,12noon – 11:30pm (Today),"6,089",4.4,4.3,801
167,Sashay-Taproom Kitchen,,"Asian, Modern Indian, Continental, Sushi, North Indian, Chinese, Desserts, Beverages",2000," Whitefield, Bangalore",https://www.zomato.com/bangalore/sashay-taproom-kitchen-whitefield-bangalore/info,12noon – 12midnight (Today),"7,939",4.8,0.0,0
168,The Hole In The Wall Cafe,,"Cafe, Continental, Burger, Sandwich, Shake, Beverages, Desserts",700," Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block-bangalore/info,Opens tomorrow at 8am,"8,757",4.4,4.3,"8,159"
169,Chili's American Grill & Bar,,"Continental, Mexican, American, Italian, Desserts, Beverages",1800," Orion Mall, Malleshwaram, Bangalore",https://www.zomato.com/bangalore/chilis-american-grill-bar-rajajinagar-bangalore/info,Opens tomorrow at 12noon,10.5K,4.3,4.2,"1,029"
170,Gatsby,,"Finger Food, Healthy Food, North Indian, Asian, Sushi, Chinese, South Indian, Pizza",2500," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/gatsby-bannerghatta-road-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)","3,442",4.4,3.5,133
171,ShakesBierre,,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages",1800," Eva Mall, Brigade Road, Bangalore",https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/info,11:30am – 1am (Today),"3,658",4.4,3.9,120
172,You Mee,,"Asian, Sushi, Japanese, Chinese, Desserts, Beverages",2200," Nexus Shantiniketan, Whitefield, Bangalore",https://www.zomato.com/bangalore/you-mee-whitefield-bangalore/info,11am – 11:30pm (Today),"2,327",4.4,4.1,"4,150"
173,KOKO,,"Asian, Sushi, Desserts, Chinese, Beverages",3500," Old Airport Road, Bangalore",https://www.zomato.com/bangalore/koko-airport-road-bangalore/info,"12noon – 4pm, 7pm – 1am (Today)",151,4.5,4.0,17
174,Secret Of Bangalore,,"Italian, Continental, Asian, Pizza, Pasta, Desserts, Beverages",1600," Rajarajeshwari Nagar, Bangalore",https://www.zomato.com/bangalore/secret-of-bangalore-rajarajeshwari-nagar-bangalore/info,11am – 1am (Today),"5,270",4.3,3.5,253
175,Sly Granny,,"Continental, Italian, Salad, Sandwich, Pizza, Middle Eastern, Desserts",2500," Indiranagar, Bangalore",https://www.zomato.com/bangalore/sly-granny-indiranagar-bangalore/info,12noon – 11:30pm (Today),"1,550",4.4,3.7,419
176,Jugni Kitchen & Bar,,"North Indian, Modern Indian, Bar Food, Seafood, South Indian, Desserts, Beverages",1600," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/jugni-kitchen-bar-koramangala-5th-block-bangalore/info,12noon – 11:30pm (Today),295,4.4,0.0,2
177,Gulp Cocktails And Kitchen,,"North Indian, Continental, Mughlai, South Indian, Modern Indian, Pasta, Pizza, Chinese",1500," Banashankari, Bangalore",https://www.zomato.com/bangalore/gulp-cocktails-and-kitchen-banashankari-bangalore/info,12noon – 12midnight (Today),790,4.1,0.0,0
178,Sidewalk Bar & Kitchen,,"North Indian, Continental, Chinese, Fast Food, Beverages",1800," Marathahalli, Bangalore",https://www.zomato.com/bangalore/sidewalk-bar-kitchen-marathahalli-bangalore/info,12noon – 1am (Today),"6,638",4.3,4.0,"3,254"
179,Chianti,,"Italian, Pizza, Pasta, Desserts, Salad",1800," Forum Falcon City Mall, Kanakapura Roaad, Bangalore",https://www.zomato.com/bangalore/chianti-kanakapura-road-bangalore/info,Opens tomorrow at 12noon,"1,392",4.8,4.3,377
180,Public - The Rooftop Bar And Kitchen,,"North Indian, Biryani, Oriental, Pizza, Continental",1200," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/public-the-rooftop-bar-and-kitchen-bannerghatta-road-bangalore/info,11am – 12midnight (Today),"3,025",4.2,3.9,272
181,Melange,,"North Indian, South Indian, Continental, Italian, Desserts",3500," Radisson Blu, Marathahalli, Bangalore",https://www.zomato.com/bangalore/melange-marathahalli-bangalore/info,24 Hours (Today),"1,603",4.1,3.8,21
182,Umbaa Pub And Kitchen,,"Bar Food, North Indian, Mughlai, Continental, Beverages",1500," ITPL Main Road, Whitefield, Bangalore",https://www.zomato.com/bangalore/umbaa-pub-and-kitchen-1-itpl-main-road-whitefield-bangalore/info,11am – 12:30am (Today),"1,850",4.5,0.0,0
183,Masala Mandi,,"North Indian, BBQ, Biryani, Desserts, Beverages, Mughlai",1800," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/masala-mandi-sarjapur-road-bangalore/info,"12noon – 4pm, 6:30pm – 11:30pm (Today)","3,822",4.3,4.0,"3,627"
184,Skyline Rooftop Bar & Kitchen,,"Chinese, Italian, Fast Food, North Indian, Kebab, Biryani, Continental, Beverages",1800," Livin Hub Hotel, Bangalore",https://www.zomato.com/bangalore/skyline-rooftop-bar-kitchen-marathahalli-bangalore/info,12noon – 12midnight (Today),"1,409",4.4,3.6,70
185,The Big Barbeque,,"BBQ, Pizza, North Indian, Pasta, Desserts, Beverages",2000," Marathahalli, Bangalore",https://www.zomato.com/bangalore/the-big-barbeque-marathahalli-bangalore/info,Opens tomorrow at 11:30am,"9,195",4.3,3.5,"2,201"
186,Cafe Grey By Dongle & Co,,"Cafe, Coffee, Beverages, Continental, Pizza, Italian, Salad, Desserts",1200," Indiranagar, Bangalore",https://www.zomato.com/bangalore/cafe-grey-by-dongle-co-indiranagar-bangalore/info,Opens tomorrow at 9am,"1,649",4.4,3.8,276
187,Grazers Resto - Bar,,"North Indian, Salad, Continental, Burger, Pizza, Fast Food, Asian, Bar Food",1200," Jayanagar, Bangalore",https://www.zomato.com/bangalore/grazers-resto-bar-jayanagar-bangalore/info,10:30am – 12midnight (Today),"1,069",4.2,3.6,"3,341"
188,Hakuna Matata,,"North Indian, Asian, Seafood, Chinese, Biryani, Fast Food, Desserts, Beverages",1700," JP Nagar, Bangalore",https://www.zomato.com/bangalore/hakuna-matata-jp-nagar/info,12noon – 12midnight (Today),"7,118",4.4,4.2,"5,135"
189,LUPA,,"Mediterranean, European, Italian, Salad, Desserts, Beverages",5000," MG Road, Bangalore",https://www.zomato.com/bangalore/lupa-mg-road-bangalore/info,"12noon – 3:30pm, 7pm – 12midnight (Today)",142,3.3,0.0,0
190,Poco A Poco - Global Food & Music,,"Continental, Chinese, North Indian, Italian, Desserts, Asian, South Indian, Beverages",1000," Whitefield, Bangalore",https://www.zomato.com/bangalore/poco-a-poco-global-food-music-whitefield-bangalore/info,Opens tomorrow at 12noon,311,4.5,4.0,58
191,Fenny's Lounge And Kitchen,,"Mediterranean, Continental, Italian, Desserts, Beverages",1900," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/fennys-lounge-and-kitchen-koramangala-7th-block/info,"12midnight – 1am, 11:30am – 12midnight (Today)",11.6K,4.5,4.1,33
192,Bamey's Restro Cafe,,"Asian, Nepalese, Momos",950," Koramangala 5th Block, Bangalore",https://www.zomato.com/bameys/info,Opens tomorrow at 11:30am,"1,923",4.2,4.2,"4,779"
193,Chowki Multicuisine Restaurant,,"North Indian, Chinese, Seafood, Fast Food, Biryani, Sichuan, Desserts, Beverages",700," Whitefield, Bangalore",https://www.zomato.com/bangalore/chowki-multicuisine-restaurant-whitefield-bangalore/info,12noon – 12midnight (Today),400,4.2,3.8,527
194,Celeb’s Restobar,,Bar Food,1300," Brookefield, Bangalore",https://www.zomato.com/bangalore/celebs-restobar-brookefield-bangalore/info,12:30pm – 12midnight (Today),389,4.3,0.0,0
195,Windmills,,"Continental, North Indian, Mughlai, Kebab, Desserts",3500," Craftworks, Bangalore",https://www.zomato.com/bangalore/windmills-1-whitefield-bangalore/info,12noon – 12midnight (Today),"7,191",4.7,4.1,"1,461"
196,Foxtrot,,"North Indian, Mughlai, Biryani, Desserts, Beverages",1900," Marathahalli, Bangalore",https://www.zomato.com/bangalore/foxtrot-marathahalli-bangalore/info,12noon – 12midnight (Today),"3,091",4.2,4.3,493
197,Inanna Tap Room,,"Chinese, North Indian, Burger, Pizza, Italian, Desserts",2000," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/inanna-tap-room-bannerghatta-road-bangalore/info,12noon – 12:30am (Today),"3,243",4.2,3.6,413
198,La Casa Brewery And Kitchen,,"Continental, North Indian, Mughlai, Chinese, Finger Food, Steak, Desserts, Beverages",2000," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/la-casa-brewery-and-kitchen-sarjapur-road-bangalore/info,12noon – 1am (Today),"7,524",4.3,4.2,"2,157"
199,Aroma's Hyderabad House,,"Hyderabadi, Biryani, North Indian, Mughlai, Chinese, Seafood, Kebab, Beverages",950," Marathahalli, Bangalore",https://www.zomato.com/bangalore/aromas-hyderabad-house-marathahalli-bangalore/info,"12midnight – 1am, 11:30am – 4:30pm, 6:30pm – 12midnight (Today)",827,4.2,4.1,"3,767"
200,Paragon Restaurant - Since 1939,,"Kerala, Oriental, South Indian, Chinese, Seafood, Desserts, Beverages, North Indian",1000," 1 Sobha, Bangalore",https://www.zomato.com/bangalore/paragon-restaurant-since-1939-st-marks-road-bangalore/info,8:30am – 11:30pm (Today),86,4.0,4.3,"2,169"
201,Thelagram,,"North Indian, Street Food, Desserts, Beverages",800," JP Nagar, Bangalore",https://www.zomato.com/bangalore/thelagram-jp-nagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",626,4.4,4.3,223
202,XOOX Brewmill,,"North Indian, Continental, American, Italian, Asian, Modern Indian, Pizza, Desserts",2500," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore/info,12noon – 1am (Today),"7,188",4.3,3.8,178
203,Moplah's,,"Kerala, Biryani, Seafood, Beverages, Ice Cream, Desserts",1700," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/moplahs-koramangala-5th-block-bangalore/info,Opens tomorrow at 12noon,384,4.5,4.3,532
204,Tall Oaks,,"Asian, Continental, North Indian, Chinese, Seafood, Mexican, Bar Food, South Indian",1200," Seegehalli, Bangalore",https://www.zomato.com/bangalore/tall-oaks-seegehalli-bangalore/info,12noon – 11:30pm (Today),215,0.0,0.0,0
205,Bombay Adda,,"Continental, North Indian, Asian, Pizza, Fast Food, Kebab, Desserts, Beverages",2000," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore/info,12noon – 1am (Today),"7,095",4.2,0.0,0
206,Lush - Renaissance Hotel,,"North Indian, Continental, Chinese, Fast Food",3500," Renaissance Hotel, Race Course Road, Bangalore",https://www.zomato.com/bangalore/lush-renaissance-hotel-race-course-road-bangalore/info,Opens tomorrow at 7am,"1,539",4.4,4.4,157
207,154 Breakfast Club,,"Burger, Cafe, Sandwich, Street Food, Fast Food, Pancake, Asian, Desserts",1100," Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/154-breakfast-club-koramangala-4th-block-bangalore/info,Opens tomorrow at 8am,"3,136",3.9,4.4,"2,170"
208,BumbleBee Brauhaus,,"Thai, Chinese, South Indian, Continental, North Indian, Italian, Desserts, Beverages",2600," Indiranagar, Bangalore",https://www.zomato.com/bangalore/bumblebee-brauhaus-indiranagar-bangalore/info,6am – 1am (Today),"2,571",3.9,3.5,68
209,The Peak,,"Continental, Mangalorean",1000," Sahakara Nagar, Bangalore",https://www.zomato.com/bangalore/the-peak-2-sahakara-nagar-bangalore/info,12noon – 12midnight (Today),954,4.3,0.0,0
210,Brik Oven,,"Pizza, Fast Food, Desserts, Beverages",1200," Indiranagar, Bangalore",https://www.zomato.com/bangalore/brik-oven-indiranagar-bangalore/info,"8am – 11am, 11:30am – 12midnight (Today)",874,4.4,4.0,"2,665"
211,Toca Terrace,,"South Indian, North Indian, Continental, Chinese, Seafood, Pasta",1100," Brigade Road, Bangalore",https://www.zomato.com/bangalore/toca-terrace-brigade-road-bangalore/info,"12midnight – 12:45am, 11am – 12midnight (Today)",201,4.1,0.0,0
212,The Irish House,,"European, American, Italian, BBQ, Beverages, Desserts",2000," RMZ Ecoworld, Bellandur, Bangalore",https://www.zomato.com/bangalore/the-irish-house-bellandur/info,12noon – 11:45pm (Today),"2,927",4.2,4.2,179
